Promotion Seen,Timestamp
FeedFollowOptionCoachmark,1638645153
GapActivityDetailUpsell,1639515074
GapActivityDetailUpsell,1639596340
GapActivityDetailUpsell,1639949155
GapActivityDetailUpsell,1657423883
GapActivityDetailUpsell,1658274065
GapActivityDetailUpsell,1658280510
GapActivityDetailUpsell,1659368840
GapActivityDetailUpsell,1659369275
GapActivityDetailUpsell,1659994386
GapActivityDetailUpsell,1660670780
GapActivityDetailUpsell,1662503647
GapActivityDetailUpsell,1663165119
GapActivityDetailUpsell,1663779900
GapActivityDetailUpsell,1665008000
EvergreenStatsShareFeatureEd,1665258414
NavigationTabHome,1634930145
NavigationTabYou,1634930148
NavigationTabYouProgress,1634930147
NavigationTabYouActivities,1638643946
NavigationTabYouProfile,1638643948
NavigationTabMapsSegments,1634861451
NavigationTabMapsRoutes,1634861442
NavigationTabMapsSaved,1634861450
NavigationTabGroupsActive,1634861455
NavigationTabGroupsChallenges,1638648395
NavigationTabGroupsClubs,1638649994
NavigationYouProgressEducationDismissed,1638997835
NavigationYouProgressEducationCoachmarkImpression,1634930147
NavigationYouProgressEducationCoachmarkImpression,1638643938
NavigationYouProgressEducationCoachmarkImpression,1638648368
NavigationYouProgressEducationCoachmarkImpression,1638769031
NavigationYouProgressEducationCoachmarkImpression,1638912331
NavigationYouProgressEducationCoachmarkImpression,1638997828
NavigationYouActivitiesEducationCoachmarkImpression,1648591898
NavigationYouActivitiesEducationCoachmarkImpression,1649369152
NavigationYouActivitiesEducationCoachmarkImpression,1649527127
NavigationYouActivitiesEducationCoachmarkImpression,1649550184
NavigationYouActivitiesEducationCoachmarkImpression,1649552891
NavigationYouActivitiesEducationCoachmarkImpression,1649622583
NavigationTabEducationModalMapsJ2,1634861442
NavigationTabEducationModalGroupsJ2,1634861455
ActivityDetailsLeaderboardQualityCoachmark,1639089582
ActivityDetailsLeaderboardQualityCoachmark,1639162967
RecordScreenBeaconCoachmark,1638768048
MapSettingsPersonalHeatmapCoachmark,1634861442
MapSettingsButtonPersonalHeatmapFeatureEd,1638993570
MapVisibilityFeedCoachmarkImpression,1661965791
MapVisibilityFeedCoachmarkImpression,1662040519
MapVisibilityFeedCoachmarkImpression,1662120277
MapVisibilityFeedCoachmarkOrModalDismissed,1662120289
