Follower Athlete ID,Follow Status,Created At
56472806,Accepted,"Dec 4, 2021, 8:38:11 PM"
88169849,Accepted,"Dec 4, 2021, 8:38:58 PM"
67232360,Accepted,"Dec 5, 2021, 5:43:06 AM"
53568279,Accepted,"Dec 6, 2021, 12:53:44 PM"
88504058,Accepted,"Dec 6, 2021, 7:34:47 PM"
33698896,Accepted,"Dec 11, 2021, 9:22:20 PM"
66698240,Accepted,"Dec 14, 2021, 3:36:24 AM"
44067926,Accepted,"Dec 14, 2021, 3:54:36 AM"
85406906,Accepted,"Dec 15, 2021, 10:05:47 PM"
97919154,Accepted,"Jan 23, 2022, 11:33:22 PM"
83757049,Accepted,"Feb 9, 2022, 10:39:18 PM"
71061925,Accepted,"Feb 16, 2022, 1:54:39 AM"
87004636,Accepted,"Feb 23, 2022, 2:52:29 PM"
39886155,Accepted,"Mar 11, 2022, 9:06:37 PM"
100166175,Accepted,"Mar 15, 2022, 12:11:13 AM"
87503850,Accepted,"Apr 6, 2022, 8:15:15 PM"
77802580,Accepted,"Apr 28, 2022, 2:29:57 PM"
14071877,Accepted,"Jul 13, 2022, 7:55:31 PM"
65772605,Accepted,"Jul 16, 2022, 1:43:44 PM"
40606781,Accepted,"Aug 9, 2022, 1:46:49 PM"
69781684,Accepted,"Aug 17, 2022, 5:01:10 PM"
107592648,Accepted,"Aug 30, 2022, 12:43:26 AM"
61556060,Accepted,"Aug 31, 2022, 6:30:42 PM"
59161838,Accepted,"Aug 31, 2022, 9:48:18 PM"
96143833,Accepted,"Sep 7, 2022, 11:52:17 AM"
70236553,Accepted,"Sep 7, 2022, 12:25:31 PM"
59843959,Accepted,"Sep 7, 2022, 4:48:30 PM"
108400348,Accepted,"Oct 17, 2022, 5:17:46 PM"
109645641,Accepted,"Feb 4, 2023, 9:00:50 PM"
39359734,Accepted,"Feb 5, 2023, 2:02:25 AM"
80588220,Accepted,"Mar 16, 2023, 8:37:52 PM"
