Following Athlete ID,Follow Status,Created At
88504058,Accepted,"Dec 4, 2021, 6:53:21 PM"
5747299,Accepted,"Dec 4, 2021, 6:53:56 PM"
56472806,Accepted,"Dec 4, 2021, 8:34:19 PM"
33698896,Accepted,"Dec 4, 2021, 8:34:38 PM"
88169849,Accepted,"Dec 4, 2021, 8:37:18 PM"
67232360,Accepted,"Dec 4, 2021, 9:57:19 PM"
66698240,Accepted,"Dec 4, 2021, 9:57:27 PM"
53568279,Accepted,"Dec 6, 2021, 5:51:29 AM"
69781684,Accepted,"Dec 7, 2021, 2:06:39 AM"
85406906,Accepted,"Dec 9, 2021, 10:31:10 PM"
79126108,Accepted,"Dec 13, 2021, 8:04:07 PM"
44067926,Accepted,"Dec 14, 2021, 3:58:36 AM"
97919154,Accepted,"Jan 28, 2022, 12:47:21 AM"
83757049,Accepted,"Feb 9, 2022, 9:12:46 PM"
14071877,Accepted,"Feb 14, 2022, 2:54:52 PM"
71061925,Accepted,"Feb 14, 2022, 2:55:04 PM"
52740731,Accepted,"Feb 14, 2022, 2:59:31 PM"
80437829,Accepted,"Feb 14, 2022, 2:59:32 PM"
87004636,Accepted,"Feb 23, 2022, 2:34:04 PM"
39886155,Accepted,"Mar 11, 2022, 8:45:38 PM"
100166175,Accepted,"Mar 16, 2022, 3:13:47 PM"
87503850,Accepted,"Apr 6, 2022, 8:20:38 PM"
65772605,Accepted,"Apr 20, 2022, 4:08:59 PM"
88174234,Accepted,"Apr 28, 2022, 12:30:48 PM"
77802580,Accepted,"Apr 28, 2022, 12:31:20 PM"
40606781,Accepted,"Jul 16, 2022, 2:17:17 PM"
23462123,Accepted,"Aug 4, 2022, 11:11:15 PM"
5452411,Accepted,"Aug 8, 2022, 9:32:36 PM"
107592648,Accepted,"Aug 31, 2022, 11:27:54 AM"
61556060,Accepted,"Aug 31, 2022, 12:14:08 PM"
59161838,Accepted,"Aug 31, 2022, 12:15:01 PM"
59176484,Accepted,"Sep 5, 2022, 2:36:52 PM"
59843959,Accepted,"Sep 7, 2022, 12:11:59 PM"
96143833,Accepted,"Sep 7, 2022, 12:12:14 PM"
70236553,Accepted,"Sep 7, 2022, 12:30:40 PM"
108400348,Accepted,"Oct 17, 2022, 4:49:50 PM"
39359734,Accepted,"Feb 5, 2023, 2:06:54 AM"
109645641,Accepted,"Feb 5, 2023, 11:17:08 PM"
19088227,Accepted,"Feb 11, 2023, 5:32:06 PM"
80588220,Accepted,"Mar 28, 2023, 2:21:22 AM"
