Reaction Date,Reaction Type,Parent Type,Parent ID
"Dec 4, 2021, 7:12:40 PM",Kudos,Activity,6342965753
"Dec 4, 2021, 8:43:42 PM",Kudos,Activity,6342936668
"Dec 6, 2021, 5:07:52 AM",Kudos,Activity,6348418109
"Dec 6, 2021, 1:02:32 PM",Kudos,Activity,6348350811
"Dec 7, 2021, 7:15:05 PM",Kudos,Activity,6355650737
"Dec 8, 2021, 4:53:11 PM",Kudos,Activity,6356714206
"Dec 9, 2021, 10:38:46 PM",Kudos,Activity,6364413772
"Dec 12, 2021, 3:16:44 AM",Kudos,Activity,6368366298
"Dec 12, 2021, 6:01:54 PM",Kudos,Activity,6375969206
"Dec 13, 2021, 9:31:46 PM",Kudos,Activity,6380328628
"Dec 14, 2021, 3:35:18 AM",Kudos,Activity,6375576146
"Dec 14, 2021, 3:35:20 AM",Kudos,Activity,6372072339
"Dec 14, 2021, 3:35:25 AM",Kudos,Activity,6371351416
"Dec 14, 2021, 3:35:27 AM",Kudos,Activity,6371021931
"Dec 14, 2021, 3:35:28 AM",Kudos,Activity,6371017896
"Dec 14, 2021, 3:35:33 AM",Kudos,Activity,6367396305
"Dec 14, 2021, 3:35:38 AM",Kudos,Activity,6366846132
"Dec 14, 2021, 3:35:39 AM",Kudos,Activity,6366727331
"Dec 14, 2021, 3:36:39 AM",Kudos,Activity,6343941986
"Dec 14, 2021, 3:36:58 AM",Kudos,Activity,6362866486
"Dec 14, 2021, 3:36:59 AM",Kudos,Activity,6362923006
"Dec 14, 2021, 3:37:38 AM",Kudos,Activity,6362890067
"Dec 14, 2021, 4:00:18 AM",Kudos,Activity,6375852761
"Dec 16, 2021, 4:32:35 AM",Kudos,Activity,6388675953
"Dec 16, 2021, 4:32:56 AM",Kudos,Activity,6387871796
"Dec 17, 2021, 5:37:23 AM",Kudos,Activity,6391291515
"Dec 17, 2021, 5:37:25 AM",Kudos,Activity,6391421636
"Dec 17, 2021, 5:37:37 AM",Kudos,Activity,6392197145
"Dec 17, 2021, 8:58:45 PM",Kudos,Activity,6395827185
"Dec 19, 2021, 9:20:57 PM",Kudos,Activity,6404748725
"Dec 20, 2021, 5:37:45 PM",Kudos,Activity,6407268504
"Dec 20, 2021, 10:09:05 PM",Kudos,Activity,6408295690
"Dec 20, 2021, 10:09:08 PM",Kudos,Activity,6408384587
"Dec 20, 2021, 10:35:15 PM",Kudos,Activity,6408536760
"Dec 20, 2021, 10:35:18 PM",Kudos,Activity,6408402642
"Dec 21, 2021, 10:44:11 PM",Kudos,Activity,6412491362
"Dec 21, 2021, 10:44:18 PM",Kudos,Activity,6412616064
"Dec 24, 2021, 7:19:25 PM",Kudos,Activity,6419544649
"Dec 24, 2021, 7:19:28 PM",Kudos,Activity,6415312739
"Dec 25, 2021, 10:48:54 PM",Kudos,Activity,6426569741
"Dec 26, 2021, 4:49:17 AM",Kudos,Activity,6427184937
"Dec 26, 2021, 4:49:29 AM",Kudos,Activity,6426657419
"Dec 26, 2021, 5:21:38 PM",Kudos,Activity,6430066796
"Dec 26, 2021, 5:21:43 PM",Kudos,Activity,6430292922
"Dec 26, 2021, 8:10:08 PM",Kudos,Activity,6430757328
"Dec 27, 2021, 1:18:26 AM",Kudos,Activity,6430821818
"Dec 27, 2021, 7:28:37 AM",Kudos,Activity,6431970601
"Dec 28, 2021, 9:54:17 PM",Kudos,Activity,6439773851
"Dec 29, 2021, 12:44:27 AM",Kudos,Activity,6440176797
"Dec 30, 2021, 5:53:07 AM",Kudos,Activity,6444707948
"Jan 2, 2022, 3:07:48 AM",Kudos,Activity,6457772587
"Jan 2, 2022, 3:07:54 AM",Kudos,Activity,6457861241
"Jan 2, 2022, 3:07:56 AM",Kudos,Activity,6457602138
"Jan 2, 2022, 3:04:14 PM",Kudos,Activity,6460747900
"Jan 3, 2022, 2:26:43 PM",Kudos,Activity,6463843324
"Jan 11, 2022, 5:35:26 PM",Kudos,Activity,6487664911
"Jan 11, 2022, 6:08:11 PM",Kudos,Activity,6491330276
"Jan 16, 2022, 3:36:44 AM",Kudos,Activity,6528846499
"Jan 18, 2022, 9:03:15 PM",Kudos,Activity,6545148192
"Jan 20, 2022, 6:24:48 PM",Kudos,Activity,6549996945
"Jan 20, 2022, 6:24:54 PM",Kudos,Activity,6550691577
"Jan 25, 2022, 9:36:16 PM",Kudos,Activity,6579738009
